Host clust2
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000

Iteration 323: Espilon = 802.7971, ESS = 950 Acc. rate = 6.00% Uniqueness rate particules = 55.2% Uniqueness rate components = 55.2% Global parameters uniqueness rate = 55.2%

Iteration 324: Espilon = 802.6311, ESS = 902 Acc. rate = 5.76% Uniqueness rate particules = 59.0% Uniqueness rate components = 59.0% Global parameters uniqueness rate = 59.0%

Iteration 325: Espilon = 802.5133, ESS = 856 Acc. rate = 6.66% Uniqueness rate particules = 63.2% Uniqueness rate components = 63.2% Global parameters uniqueness rate = 63.2%

Iteration 326: Espilon = 802.3207, ESS = 813 Acc. rate = 4.18% Uniqueness rate particules = 65.2% Uniqueness rate components = 65.2% Global parameters uniqueness rate = 65.2%

Iteration 327: Espilon = 802.1965, ESS = 775 Acc. rate = 6.19% Uniqueness rate particules = 67.8% Uniqueness rate components = 67.8% Global parameters uniqueness rate = 67.8%

Iteration 328: Espilon = 802.0840, ESS = 736 Acc. rate = 4.76% Uniqueness rate particules = 69.4% Uniqueness rate components = 69.4% Global parameters uniqueness rate = 69.4%

Iteration 329: Espilon = 801.9512, ESS = 699 Acc. rate = 4.29% Uniqueness rate particules = 70.3% Uniqueness rate components = 70.3% Global parameters uniqueness rate = 70.3%

Iteration 330: Espilon = 801.8341, ESS = 664 Acc. rate = 3.16% Uniqueness rate particules = 71.0% Uniqueness rate components = 71.0% Global parameters uniqueness rate = 71.0%

Iteration 331: Espilon = 801.7236, ESS = 630 Acc. rate = 4.13% Uniqueness rate particules = 72.0% Uniqueness rate components = 72.0% Global parameters uniqueness rate = 72.0%

Iteration 332: Espilon = 801.6435, ESS = 598 Acc. rate = 3.34% Uniqueness rate particules = 72.8% Uniqueness rate components = 72.8% Global parameters uniqueness rate = 72.8%

Iteration 333: Espilon = 801.5602, ESS = 568 Acc. rate = 4.93% Uniqueness rate particules = 73.8% Uniqueness rate components = 73.8% Global parameters uniqueness rate = 73.8%

Iteration 334: Espilon = 801.4732, ESS = 539 Acc. rate = 4.64% Uniqueness rate particules = 74.9% Uniqueness rate components = 74.9% Global parameters uniqueness rate = 74.9%

Iteration 335: Espilon = 801.3639, ESS = 512 Acc. rate = 4.30% Uniqueness rate particules = 75.4% Uniqueness rate components = 75.4% Global parameters uniqueness rate = 75.4%

Resampling... 413 unique particles left
Iteration 336: Espilon = 801.3043, ESS = 1000 Acc. rate = 4.50% Uniqueness rate particules = 45.8% Uniqueness rate components = 45.8% Global parameters uniqueness rate = 45.8%

Iteration 337: Espilon = 801.2227, ESS = 951 Acc. rate = 4.42% Uniqueness rate particules = 49.9% Uniqueness rate components = 49.9% Global parameters uniqueness rate = 49.9%

Iteration 338: Espilon = 801.1513, ESS = 904 Acc. rate = 3.10% Uniqueness rate particules = 52.2% Uniqueness rate components = 52.2% Global parameters uniqueness rate = 52.2%

Iteration 339: Espilon = 801.1040, ESS = 858 Acc. rate = 4.20% Uniqueness rate particules = 55.0% Uniqueness rate components = 55.0% Global parameters uniqueness rate = 55.0%

Iteration 340: Espilon = 801.0251, ESS = 815 Acc. rate = 4.66% Uniqueness rate particules = 57.7% Uniqueness rate components = 57.7% Global parameters uniqueness rate = 57.7%

Iteration 341: Espilon = 800.9262, ESS = 774 Acc. rate = 4.13% Uniqueness rate particules = 59.9% Uniqueness rate components = 59.9% Global parameters uniqueness rate = 59.9%

Iteration 342: Espilon = 800.8546, ESS = 735 Acc. rate = 4.63% Uniqueness rate particules = 61.8% Uniqueness rate components = 61.8% Global parameters uniqueness rate = 61.8%

Iteration 343: Espilon = 800.7817, ESS = 698 Acc. rate = 5.73% Uniqueness rate particules = 64.3% Uniqueness rate components = 64.3% Global parameters uniqueness rate = 64.3%

Iteration 344: Espilon = 800.7197, ESS = 663 Acc. rate = 4.52% Uniqueness rate particules = 66.1% Uniqueness rate components = 66.1% Global parameters uniqueness rate = 66.1%

Iteration 345: Espilon = 800.6894, ESS = 629 Acc. rate = 4.29% Uniqueness rate particules = 67.5% Uniqueness rate components = 67.5% Global parameters uniqueness rate = 67.5%

Iteration 346: Espilon = 800.6080, ESS = 597 Acc. rate = 5.19% Uniqueness rate particules = 68.8% Uniqueness rate components = 68.8% Global parameters uniqueness rate = 68.8%

Iteration 347: Espilon = 800.4967, ESS = 567 Acc. rate = 3.70% Uniqueness rate particules = 69.4% Uniqueness rate components = 69.4% Global parameters uniqueness rate = 69.4%

Iteration 348: Espilon = 800.4395, ESS = 538 Acc. rate = 4.65% Uniqueness rate particules = 70.2% Uniqueness rate components = 70.2% Global parameters uniqueness rate = 70.2%

Iteration 349: Espilon = 800.3791, ESS = 511 Acc. rate = 3.91% Uniqueness rate particules = 71.0% Uniqueness rate components = 71.0% Global parameters uniqueness rate = 71.0%

Resampling... 396 unique particles left
Iteration 350: Espilon = 800.3261, ESS = 1000 Acc. rate = 3.40% Uniqueness rate particules = 43.0% Uniqueness rate components = 43.0% Global parameters uniqueness rate = 43.0%

Iteration 351: Espilon = 800.2628, ESS = 952 Acc. rate = 3.68% Uniqueness rate particules = 46.1% Uniqueness rate components = 46.1% Global parameters uniqueness rate = 46.1%

Iteration 352: Espilon = 800.2056, ESS = 904 Acc. rate = 4.09% Uniqueness rate particules = 49.4% Uniqueness rate components = 49.4% Global parameters uniqueness rate = 49.4%

Iteration 353: Espilon = 800.1556, ESS = 859 Acc. rate = 3.84% Uniqueness rate particules = 52.2% Uniqueness rate components = 52.2% Global parameters uniqueness rate = 52.2%

Iteration 354: Espilon = 800.1068, ESS = 818 Acc. rate = 5.50% Uniqueness rate particules = 55.4% Uniqueness rate components = 55.4% Global parameters uniqueness rate = 55.4%

Iteration 355: Espilon = 800.0295, ESS = 777 Acc. rate = 4.25% Uniqueness rate particules = 57.7% Uniqueness rate components = 57.7% Global parameters uniqueness rate = 57.7%

Iteration 356: Espilon = 799.9768, ESS = 739 Acc. rate = 4.47% Uniqueness rate particules = 59.9% Uniqueness rate components = 59.9% Global parameters uniqueness rate = 59.9%

Iteration 357: Espilon = 799.9409, ESS = 702 Acc. rate = 3.13% Uniqueness rate particules = 61.4% Uniqueness rate components = 61.4% Global parameters uniqueness rate = 61.4%

Iteration 358: Espilon = 799.8904, ESS = 666 Acc. rate = 2.40% Uniqueness rate particules = 62.0% Uniqueness rate components = 62.0% Global parameters uniqueness rate = 62.0%

Iteration 359: Espilon = 799.8479, ESS = 632 Acc. rate = 2.85% Uniqueness rate particules = 62.8% Uniqueness rate components = 62.8% Global parameters uniqueness rate = 62.8%

Iteration 360: Espilon = 799.8256, ESS = 602 Acc. rate = 1.66% Uniqueness rate particules = 63.3% Uniqueness rate components = 63.3% Global parameters uniqueness rate = 63.3%

Iteration 361: Espilon = 799.7711, ESS = 571 Acc. rate = 3.15% Uniqueness rate particules = 64.1% Uniqueness rate components = 64.1% Global parameters uniqueness rate = 64.1%

Iteration 362: Espilon = 799.7351, ESS = 551 Acc. rate = 2.90% Uniqueness rate particules = 64.9% Uniqueness rate components = 64.9% Global parameters uniqueness rate = 64.9%

Iteration 363: Espilon = 799.7032, ESS = 523 Acc. rate = 4.78% Uniqueness rate particules = 66.1% Uniqueness rate components = 66.1% Global parameters uniqueness rate = 66.1%

Resampling... 375 unique particles left
Iteration 364: Espilon = 799.6559, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 40.1% Uniqueness rate components = 40.1% Global parameters uniqueness rate = 40.1%

Iteration 365: Espilon = 799.6258, ESS = 951 Acc. rate = 2.84% Uniqueness rate particules = 42.6% Uniqueness rate components = 42.6% Global parameters uniqueness rate = 42.6%

Iteration 366: Espilon = 799.5939, ESS = 904 Acc. rate = 3.54% Uniqueness rate particules = 44.9% Uniqueness rate components = 44.9% Global parameters uniqueness rate = 44.9%

Iteration 367: Espilon = 799.5627, ESS = 860 Acc. rate = 2.67% Uniqueness rate particules = 46.8% Uniqueness rate components = 46.8% Global parameters uniqueness rate = 46.8%

Iteration 368: Espilon = 799.5282, ESS = 818 Acc. rate = 2.20% Uniqueness rate particules = 48.2% Uniqueness rate components = 48.2% Global parameters uniqueness rate = 48.2%

Iteration 369: Espilon = 799.4901, ESS = 780 Acc. rate = 2.31% Uniqueness rate particules = 49.4% Uniqueness rate components = 49.4% Global parameters uniqueness rate = 49.4%

Iteration 370: Espilon = 799.4563, ESS = 742 Acc. rate = 2.56% Uniqueness rate particules = 51.1% Uniqueness rate components = 51.1% Global parameters uniqueness rate = 51.1%

Iteration 371: Espilon = 799.4166, ESS = 704 Acc. rate = 2.70% Uniqueness rate particules = 52.3% Uniqueness rate components = 52.3% Global parameters uniqueness rate = 52.3%

Iteration 372: Espilon = 799.3887, ESS = 669 Acc. rate = 1.49% Uniqueness rate particules = 53.0% Uniqueness rate components = 53.0% Global parameters uniqueness rate = 53.0%
Acceptance rate is too low, stopping the algorithm for epsilon =  799.3886612439321

Resampling... 385 unique particles left
Iteration 373: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.70% Uniqueness rate particules = 41.0% Uniqueness rate components = 41.0% Global parameters uniqueness rate = 41.0%

Iteration 374: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.20% Uniqueness rate particules = 43.0% Uniqueness rate components = 43.0% Global parameters uniqueness rate = 43.0%

Iteration 375: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.10% Uniqueness rate particules = 45.5% Uniqueness rate components = 45.5% Global parameters uniqueness rate = 45.5%

Iteration 376: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.60% Uniqueness rate particules = 48.3% Uniqueness rate components = 48.3% Global parameters uniqueness rate = 48.3%

Iteration 377: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.50% Uniqueness rate particules = 50.5% Uniqueness rate components = 50.5% Global parameters uniqueness rate = 50.5%

Iteration 378: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.40% Uniqueness rate particules = 52.9% Uniqueness rate components = 52.9% Global parameters uniqueness rate = 52.9%

Iteration 379: Espilon = 799.3887, ESS = 1000 Acc. rate = 1.90% Uniqueness rate particules = 54.5% Uniqueness rate components = 54.5% Global parameters uniqueness rate = 54.5%

Iteration 380: Espilon = 799.3887, ESS = 1000 Acc. rate = 4.10% Uniqueness rate particules = 57.4% Uniqueness rate components = 57.4% Global parameters uniqueness rate = 57.4%

Iteration 381: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.00% Uniqueness rate particules = 59.2% Uniqueness rate components = 59.2% Global parameters uniqueness rate = 59.2%

Iteration 382: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.10% Uniqueness rate particules = 60.8% Uniqueness rate components = 60.8% Global parameters uniqueness rate = 60.8%

Iteration 383: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.70% Uniqueness rate particules = 62.7% Uniqueness rate components = 62.7% Global parameters uniqueness rate = 62.7%

Iteration 384: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.50% Uniqueness rate particules = 64.9% Uniqueness rate components = 64.9% Global parameters uniqueness rate = 64.9%

Iteration 385: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 67.0% Uniqueness rate components = 67.0% Global parameters uniqueness rate = 67.0%

Iteration 386: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.10% Uniqueness rate particules = 68.3% Uniqueness rate components = 68.3% Global parameters uniqueness rate = 68.3%

Iteration 387: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 69.6% Uniqueness rate components = 69.6% Global parameters uniqueness rate = 69.6%

Iteration 388: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.10% Uniqueness rate particules = 70.4% Uniqueness rate components = 70.4% Global parameters uniqueness rate = 70.4%

Iteration 389: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 71.5% Uniqueness rate components = 71.5% Global parameters uniqueness rate = 71.5%

Iteration 390: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.00% Uniqueness rate particules = 72.8% Uniqueness rate components = 72.8% Global parameters uniqueness rate = 72.8%

Iteration 391: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 73.3% Uniqueness rate components = 73.3% Global parameters uniqueness rate = 73.3%

Iteration 392: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.40% Uniqueness rate particules = 74.3% Uniqueness rate components = 74.3% Global parameters uniqueness rate = 74.3%

Iteration 393: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.40% Uniqueness rate particules = 75.2% Uniqueness rate components = 75.2% Global parameters uniqueness rate = 75.2%

Iteration 394: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 76.8% Uniqueness rate components = 76.8% Global parameters uniqueness rate = 76.8%

Iteration 395: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.20% Uniqueness rate particules = 77.6% Uniqueness rate components = 77.6% Global parameters uniqueness rate = 77.6%

Iteration 396: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.10% Uniqueness rate particules = 78.5% Uniqueness rate components = 78.5% Global parameters uniqueness rate = 78.5%

Iteration 397: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 79.7% Uniqueness rate components = 79.7% Global parameters uniqueness rate = 79.7%

Iteration 398: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.40% Uniqueness rate particules = 80.8% Uniqueness rate components = 80.8% Global parameters uniqueness rate = 80.8%

Iteration 399: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.30% Uniqueness rate particules = 81.2% Uniqueness rate components = 81.2% Global parameters uniqueness rate = 81.2%

Iteration 400: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.00% Uniqueness rate particules = 82.3% Uniqueness rate components = 82.3% Global parameters uniqueness rate = 82.3%

Iteration 401: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 82.9% Uniqueness rate components = 82.9% Global parameters uniqueness rate = 82.9%

Iteration 402: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 83.8% Uniqueness rate components = 83.8% Global parameters uniqueness rate = 83.8%

Iteration 403: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.30% Uniqueness rate particules = 84.6% Uniqueness rate components = 84.6% Global parameters uniqueness rate = 84.6%

Iteration 404: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.70% Uniqueness rate particules = 85.8% Uniqueness rate components = 85.8% Global parameters uniqueness rate = 85.8%

Iteration 405: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.50% Uniqueness rate particules = 86.3% Uniqueness rate components = 86.3% Global parameters uniqueness rate = 86.3%

Iteration 406: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 86.9% Uniqueness rate components = 86.9% Global parameters uniqueness rate = 86.9%

Iteration 407: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 87.3% Uniqueness rate components = 87.3% Global parameters uniqueness rate = 87.3%

Iteration 408: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 87.8% Uniqueness rate components = 87.8% Global parameters uniqueness rate = 87.8%

Iteration 409: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.10% Uniqueness rate particules = 87.9% Uniqueness rate components = 87.9% Global parameters uniqueness rate = 87.9%

Iteration 410: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.10% Uniqueness rate particules = 88.5% Uniqueness rate components = 88.5% Global parameters uniqueness rate = 88.5%

Iteration 411: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 89.0% Uniqueness rate components = 89.0% Global parameters uniqueness rate = 89.0%

Iteration 412: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.00% Uniqueness rate particules = 89.5% Uniqueness rate components = 89.5% Global parameters uniqueness rate = 89.5%

Iteration 413: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 90.0% Uniqueness rate components = 90.0% Global parameters uniqueness rate = 90.0%

Iteration 414: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.50% Uniqueness rate particules = 90.5% Uniqueness rate components = 90.5% Global parameters uniqueness rate = 90.5%

Iteration 415: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 91.3% Uniqueness rate components = 91.3% Global parameters uniqueness rate = 91.3%

Iteration 416: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 91.4% Uniqueness rate components = 91.4% Global parameters uniqueness rate = 91.4%

Iteration 417: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 91.6% Uniqueness rate components = 91.6% Global parameters uniqueness rate = 91.6%

Iteration 418: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.50% Uniqueness rate particules = 92.0% Uniqueness rate components = 92.0% Global parameters uniqueness rate = 92.0%

Iteration 419: Espilon = 799.3887, ESS = 1000 Acc. rate = 3.20% Uniqueness rate particules = 92.2% Uniqueness rate components = 92.2% Global parameters uniqueness rate = 92.2%

Iteration 420: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 92.7% Uniqueness rate components = 92.7% Global parameters uniqueness rate = 92.7%

Iteration 421: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.30% Uniqueness rate particules = 93.0% Uniqueness rate components = 93.0% Global parameters uniqueness rate = 93.0%

Iteration 422: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.40% Uniqueness rate particules = 93.3% Uniqueness rate components = 93.3% Global parameters uniqueness rate = 93.3%

Iteration 423: Espilon = 799.3887, ESS = 1000 Acc. rate = 2.70% Uniqueness rate particules = 93.5% Uniqueness rate components = 93.5% Global parameters uniqueness rate = 93.5%

False
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Sampling 950 zs...
Computing 950 distances...
Kernel ratio: min = -0.614, max = 0.651, mean = -0.00197
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 2: Espilon = 27090.8956, ESS = 950 Acc. rate = 76.42% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 902 zs...
Computing 902 distances...
Kernel ratio: min = -0.69, max = 0.684, mean = -0.00923
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 3: Espilon = 25515.7851, ESS = 902 Acc. rate = 74.53% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 856 zs...
Computing 856 distances...
Kernel ratio: min = -0.673, max = 0.726, mean = 0.0012
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 4: Espilon = 24631.4728, ESS = 856 Acc. rate = 74.07% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 813 zs...
Computing 813 distances...
Kernel ratio: min = -0.928, max = 0.612, mean = -0.00474
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 5: Espilon = 23826.2295, ESS = 813 Acc. rate = 72.29% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 772 zs...
Computing 772 distances...
Kernel ratio: min = -0.631, max = 0.824, mean = 0.0108
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 6: Espilon = 23282.7073, ESS = 772 Acc. rate = 70.24% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 733 zs...
Computing 733 distances...
Kernel ratio: min = -0.736, max = 0.699, mean = -0.00801
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 7: Espilon = 22812.9683, ESS = 733 Acc. rate = 68.38% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 696 zs...
Computing 696 distances...
Kernel ratio: min = -0.66, max = 0.7, mean = 0.00749
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 8: Espilon = 22303.1880, ESS = 696 Acc. rate = 67.82% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 661 zs...
Computing 661 distances...
Kernel ratio: min = -0.716, max = 0.572, mean = -0.00869
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 9: Espilon = 21808.7255, ESS = 661 Acc. rate = 68.84% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 628 zs...
Computing 628 distances...
Kernel ratio: min = -0.878, max = 0.842, mean = 0.0152
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 10: Espilon = 21456.2291, ESS = 628 Acc. rate = 66.12% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 596 zs...
Computing 596 distances...
Kernel ratio: min = -0.782, max = 0.936, mean = -0.0199
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 11: Espilon = 21026.1086, ESS = 596 Acc. rate = 67.20% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 566 zs...
Computing 566 distances...
Kernel ratio: min = -0.818, max = 1.03, mean = 0.019
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 12: Espilon = 20654.7714, ESS = 566 Acc. rate = 64.97% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 537 zs...
Computing 537 distances...
Kernel ratio: min = -0.865, max = 0.924, mean = 0.00637
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 13: Espilon = 20144.3408, ESS = 537 Acc. rate = 63.78% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Sampling 510 zs...
Computing 510 distances...
Kernel ratio: min = -0.773, max = 0.699, mean = -0.005
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 14: Espilon = 19782.5022, ESS = 510 Acc. rate = 63.43% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Sampling 1000 zs...
Computing 1000 distances...
Kernel ratio: min = -0.93, max = 0.808, mean = -0.0207
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 15: Espilon = 19403.8470, ESS = 1000 Acc. rate = 66.00% Uniqueness rate particules = 99.2% Uniqueness rate components = 89.5% Global parameters uniqueness rate = 96.9%

Sampling 950 zs...
Computing 950 distances...
Kernel ratio: min = -0.851, max = 0.803, mean = -0.0368
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 16: Espilon = 18882.3512, ESS = 950 Acc. rate = 64.21% Uniqueness rate particules = 99.5% Uniqueness rate components = 96.1% Global parameters uniqueness rate = 99.3%

Sampling 902 zs...
Computing 902 distances...
Kernel ratio: min = -0.765, max = 0.728, mean = -0.0293
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 17: Espilon = 18382.2979, ESS = 902 Acc. rate = 64.44% Uniqueness rate particules = 99.7% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 99.6%

Sampling 856 zs...
Computing 856 distances...
Kernel ratio: min = -0.905, max = 0.942, mean = -0.0266
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 18: Espilon = 18030.7351, ESS = 856 Acc. rate = 64.78% Uniqueness rate particules = 99.7% Uniqueness rate components = 98.7% Global parameters uniqueness rate = 99.6%

Sampling 813 zs...
Computing 813 distances...
Kernel ratio: min = -0.858, max = 0.84, mean = -0.017
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 19: Espilon = 17418.2074, ESS = 813 Acc. rate = 63.10% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.1% Global parameters uniqueness rate = 99.6%

Sampling 772 zs...
Computing 772 distances...
Kernel ratio: min = -0.787, max = 0.742, mean = -0.0332
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 20: Espilon = 16874.4139, ESS = 772 Acc. rate = 65.74% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.3% Global parameters uniqueness rate = 99.6%

Sampling 733 zs...
Computing 733 distances...
Kernel ratio: min = -0.815, max = 0.819, mean = -0.0245
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 21: Espilon = 16315.4217, ESS = 733 Acc. rate = 63.85% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.4% Global parameters uniqueness rate = 99.6%

Sampling 696 zs...
Computing 696 distances...
Kernel ratio: min = -0.846, max = 0.644, mean = -0.0322
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 22: Espilon = 15961.6420, ESS = 696 Acc. rate = 61.67% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Sampling 661 zs...
Computing 661 distances...
Kernel ratio: min = -0.683, max = 0.704, mean = -0.0203
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 23: Espilon = 15497.8403, ESS = 661 Acc. rate = 63.05% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Sampling 628 zs...
Computing 628 distances...
Kernel ratio: min = -0.754, max = 0.639, mean = -0.0231
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 24: Espilon = 15155.2596, ESS = 628 Acc. rate = 64.41% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Sampling 596 zs...
Computing 596 distances...
Kernel ratio: min = -0.652, max = 0.58, mean = -0.0351
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 25: Espilon = 14802.8921, ESS = 596 Acc. rate = 65.10% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Sampling 566 zs...
Computing 566 distances...
Kernel ratio: min = -0.705, max = 0.768, mean = -0.0272
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 26: Espilon = 14496.0037, ESS = 566 Acc. rate = 63.52% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Sampling 537 zs...
Computing 537 distances...
Kernel ratio: min = -0.638, max = 0.686, mean = -0.0273
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 27: Espilon = 14215.6038, ESS = 537 Acc. rate = 63.59% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Sampling 510 zs...
Computing 510 distances...
Kernel ratio: min = -0.632, max = 0.726, mean = -0.0235
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 28: Espilon = 13836.0063, ESS = 510 Acc. rate = 62.70% Uniqueness rate particules = 99.7% Uniqueness rate components = 99.5% Global parameters uniqueness rate = 99.6%

Resampling... 484 unique particles left
Sampling 1000 zs...
Computing 1000 distances...
Kernel ratio: min = -0.684, max = 0.584, mean = -0.0291
Prior ratio: min = 0.0, max = 0.0, mean = 0.0
Iteration 29: Espilon = 13550.2207, ESS = 1000 Acc. rate = 63.90% Uniqueness rate particules = 99.3% Uniqueness rate components = 88.6% Global parameters uniqueness rate = 96.7%

Sampling 950 zs...
Computing 950 distances...
